2021.01.05 13:11:50 INFO  web[][DbMigrations] #3417 'Add primary key on 'UUID' column of 'CE_ACTIVITY' table': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3418 'Drop column 'ID' of 'CE_ACTIVITY' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3418 'Drop column 'ID' of 'CE_ACTIVITY' table': success | time=19ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3419 'Add 'uuid' columns for DUPLICATIONS_INDEX'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3419 'Add 'uuid' columns for DUPLICATIONS_INDEX': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3420 'Populate 'uuid' columns for DUPLICATIONS_INDEX'...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3420 'Populate 'uuid' columns for DUPLICATIONS_INDEX': success | time=10ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3421 'Make 'uuid' column not nullable for DUPLICATIONS_INDEX'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3421 'Make 'uuid' column not nullable for DUPLICATIONS_INDEX': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3422 'Drop primary key on 'ID' column of 'DUPLICATIONS_INDEX' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3422 'Drop primary key on 'ID' column of 'DUPLICATIONS_INDEX' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3423 'Add primary key on 'UUID' column of 'DUPLICATIONS_INDEX' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3423 'Add primary key on 'UUID' column of 'DUPLICATIONS_INDEX' table': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3424 'Drop column 'ID' of 'DUPLICATIONS_INDEX' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3424 'Drop column 'ID' of 'DUPLICATIONS_INDEX' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3425 'Add 'uuid' column for 'ACTIVE_RULE_PARAMS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3425 'Add 'uuid' column for 'ACTIVE_RULE_PARAMS' table': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3426 'Populate 'uuid' column for 'ACTIVE_RULE_PARAMS' table'...
2021.01.05 13:11:50 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3426 'Populate 'uuid' column for 'ACTIVE_RULE_PARAMS' table': success | time=9ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3427 'Make 'uuid' column not nullable for 'ACTIVE_RULE_PARAMS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3427 'Make 'uuid' column not nullable for 'ACTIVE_RULE_PARAMS' table': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3428 'Drop primary key on 'ID' column of 'ACTIVE_RULE_PARAMS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3428 'Drop primary key on 'ID' column of 'ACTIVE_RULE_PARAMS' table': success | time=6ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3429 'Add primary key on 'UUID' column of 'ACTIVE_RULE_PARAMS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3429 'Add primary key on 'UUID' column of 'ACTIVE_RULE_PARAMS' table': success | time=3ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3430 'Drop column 'ID' of 'ACTIVE_RULE_PARAMS' table'...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3430 'Drop column 'ID' of 'ACTIVE_RULE_PARAMS' table': success | time=4ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3431 'Add 'uuid' columns for 'PROJECT_MEASURES''...
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3431 'Add 'uuid' columns for 'PROJECT_MEASURES'': success | time=5ms
2021.01.05 13:11:50 INFO  web[][DbMigrations] #3432 'Add tech index on 'group_uuid' column of 'PROJECT_MEASURES' table'...
